Name	Set	ImageFile	Release	Info	Property	Uniqueness	Type	Mission/ Dilemma Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Characteristics/ Keywords	Requires	Persona	Command	Lore	Reports	Names	Text
H.M.S. Bounty*	Trad_OTF_Open_Warp	110hmsbountyklg	tmp	110 R+	TVH		Ship		Klingon/Federation	B'rel Class	7	6	6					[AU][Films]	[Films] 	Bird-of-Prey; Cloaking Device; Federation ship; Klingon ship; Tractor Beam;			Kruge;Admiral Kirk;	Bird-of-prey captained by Kruge on a covert mission to the Genesis Planet. Stolen and commanded by Admiral Kirk; re-christened with historical irony by Dr. McCoy.			Cloaking Device, Tractor Beam (cannot carry ships aboard).
Haakona	Trad_OTF_Open_Warp	haakona	premiere	R	TNG		Ship		Romulan	D'deridex Class	8	9	8						[Cmd][Stf][Stf] 	Cloaking Device; Romulan ship; Tractor Beam;			Subcommander Taris	Subcommander Taris' warbird. Responded to the Federation incursion of the Neutral Zone, near Iconia.			Cloaking Device, Tractor Beam
Hagath	Trad_OTF_Open_Warp	hagath	roa	R	DS9		Personnel		Non-Aligned	CIVILIAN	2	7	5					[Stf]		Humanoid; Arms dealer; Male;	hand weapon;	Hagath		Humanoid arms dealer. Associate of Quark's cousin Gaila. Ruthless. Treats his business associates like family - until they cross him.	War Council		CIVILIAN Acquisition Treachery x 2 Anthropology ENGINEER Your hand weapons may report here.
Hail	Trad_OTF_Open_Warp	hail	au	C	TNG		Interrupt																	Using a universal translator and other communication technology, such as at Worf's station aboard the U.S.S. Enterprise, starships can greet any ships they encounter.			Plays on any ship "flying by" one of your ships; it must stop at your location. OR Select two ships; they cannot battle each other this turn.
Hajur	Trad_OTF_Open_Warp	hajurhir	borg	80 R+	VOY		Personnel		Hirogen/Non-Aligned	CIVILIAN	7	9	9					[Cmd][DQ]		Hirogen; Male; Tsunkatse-related card;		Hajur		Hirogen captured by Penk on his son's first hunt. Has fought at Tsunkatse for nearly two decades. Trained Seven of Nine, hoping she could end his captivity.	War Council		CIVILIAN Leadership Biology MEDICAL Anthropology Geology Archaeology
Hajur*	Trad_OTF_Open_Warp	hajurna	borg	80 R+	VOY		Personnel		Non-Aligned/Hirogen	CIVILIAN	7	9	9					[Cmd][DQ]		Hirogen; Male; Tsunkatse-related card;		Hajur		Hirogen captured by Penk on his son's first hunt. Has fought at Tsunkatse for nearly two decades. Trained Seven of Nine, hoping she could end his captivity.	War Council		CIVILIAN Leadership Biology MEDICAL Anthropology Geology Archaeology
Haliz	Trad_OTF_Open_Warp	haliz	voy	144 U	VOY		Personnel		Kazon	OFFICER	5	8	9					[Cmd][DQ]		Kazon; Kazon-Ogla; Male;		Haliz		One of the greatest Kazon-Ogla warriors. Serves under Razik. Admired by many young Ogla, including Karden. Killed a Relora with his bare hands to earn his name.	The Kazon Collective (Ogla)		OFFICER Biology SCIENCE Leadership Stellar Cartography
Halkan Council	Trad_Virtual_OTF_Open_Warp	HalkanCouncil_MM	mm	131 R			Time Location	[P]								Mirror					Constitution Class;			Site of dilithium deposits and obstinate inhabitants.			Seeds or plays on table; any players may download one [MQ] Constitution-class ship here. Native to this timeline: all [AU][MU][OS] cards, and all [OS] Equipment cards. Once per turn, one such card reporting at this location may report for free.
Handshake	Trad_OTF_Open_Warp	handshake	voy	62 U	VOY		Incident																				Plays once each turn (for free) if you have played no cards this turn and have fewer in hand than opponent; they must choose to discard three cards or allow you to draw three. OR Plays to look at top five cards in any draw deck or discard pile for ten seconds; rearrange as desired. OR Plays if you have at least three other cards in hand; discard entire hand and draw seven cards. Discard incident after any use.
Hannah Bates	Trad_OTF_Open_Warp	hannahbates	premiere	U	TNG		Personnel		Federation	SCIENCE	6	8	2							Human; Female; Mission Specialist; U.S.S. Enterprise-related personnel;		Hannah Bates		Genetically engineered scientist from Moab IV. Granted asylum aboard U.S.S. Enterprise in 2368.			SCIENCE Physics
Hanok	Trad_OTF_Open_Warp	hanok	roa	U	DS9		Personnel		Dominion	V.I.P.	7	7	6					[Cmd][GQ]		Karemma; Male;		Hanok		Member of Karemma Commerce Ministry. Helped to defuse a torpedo lodged in the hull of the U.S.S. Defiant. Learned of Ferengi business philosophy from Quark.			V.I.P. Acquisition Diplomacy Smuggling ENGINEER DL/ {Any [Rule] card}
Hanonian Land Eel	Trad_OTF_Open_Warp	hanonianlandeel	voy	11 R	VOY		Dilemma	[P]																While stranded on a savage world by the Kazon-Nistrim, the crew of U.S.S. Voyager encountered a carnivorous creature with an appetite for Starfleet engineers.			Unless SECURITY, SCIENCE, and STRENGTH>50 present, kills Away Team member with lowest CUNNING or fewest [*] icons (opponent's choice).
Harness Particle 010	Trad_OTF_Open_Warp	HarnessParticle010A	borg	47 R	VOY		Objective							30				[BO][HA]			Borg cube;						Plays on table. Target {Omega Particle} (download if needed; it is immune to {Kevin Uxbridge}) at your mission with no [BO] objective on it. Your Borg may scout that location. After scouting complete, if your staffed Borg cube there, you may probe: [Enigma], [Incident], [Objective]: Perfection achieved. Place on mission; discard Particle. Doubles point boxes of your subsequently completed [BO] objectives.
Haron	Trad_OTF_Open_Warp	haron	voy	146 R	VOY		Personnel		Kazon	OFFICER	6	6	8					[Cmd][DQ]		Kazon; Kazon-Relora; Maje; Male;		Haron	Kazon Raider	First maje of the powerful Kazon-Relora, blood enemies of the Nistrim. Commands countless soldiers and a vast fleet of ships - including his own Kazon Raider.	The Kazon Collective (Relora)		OFFICER Leadership Exobiology MEDICAL Greed Stellar Cartography
Harry Kim	Trad_OTF_Open_Warp	harrykim	voy	120 R	VOY		Personnel		Federation	OFFICER	7	7	6					[DQ][Stf]		Human; Male;		Harry Kim		U.S.S. Voyager operations officer, his first posting out of the Academy. Until then, had never missed calling home every week. Plays reed instruments. Unlucky at love.			OFFICER Stellar Cartography ENGINEER Music Youth May volunteer for random selections (if applicable).
Harvester Virus	Trad_OTF_Open_Warp	harvestervirus	ds9	R	DS9		Dilemma	[P]												Virus-related dilemma;				Nanobiogenic weapon used by both sides in the T'Lani-Kellerun war. Julian Bashir and Miles O'Brien developed a method for neutralizing the virus using muon frequencies.			Place on planet. End of every player's turn, one personnel on planet killed (random selection). Cure with 2 MEDICAL, Exobiology and Computer Skill.
Hate Crime	Trad_OTF_Open_Warp	hatecrime	ds9	U	DS9		Dilemma	[S/P]										[3]		murder-related dilemma;				Outraged by a crime on Deep Space 9, Bajorans defaced Odo's security office. The xenophobic vandals were quick to judge the "shifter" simply because he was different.			Place on a non-Borg personnel who is the only member of its species present (opponent's choice). That personnel may not use any of its skills.
Hawk	Trad_OTF_Open_Warp	hawk	fc	U	FC		Personnel		Federation	OFFICER	7	6	7					[Stf]		Human; Male;	Nebula;	Hawk		Helm officer of the U.S.S Enterprise-E. Lieutenant Hawk piloted the ship through a temporal vortex. Member of Picard's zero-G assault team.			OFFICER When aboard, your ship may treat each nebula as if its span were reduced by 1. Navigation x 2
Hazardous Duty	Trad_OTF_Open_Warp	hazardousduty	bog	C	DS9		Dilemma	[S/P]						-5										Jake Sisko was exposed to the horrors of war when caught in the Klingon attack on Ajilon Prime. Not a soldier, he was unprepared for the hazards he faced with the colonists.			To get past requires 2 OFFICER; then place on mission until solved. If any non- OFFICER dies here, its owner loses points (discard dilemma).
Hazardous Duty (Voyager)	Trad_OTF_Open_Warp	hazardousdutyvoy	voy	12 S	VOY		Dilemma	[S/P]						-5										Losing a crewman under one's command is one of the most difficult realities an officer must face. The tragic loss of life is significant even to a Vulcan.			To get past requires 2 OFFICER; then place on mission until solved. If any non-OFFICER dies here, its owner loses points (discard dilemma).
Two of Twelve	Trad_Virtual_OTF_Open_Warp	twooftwelve	borg	67 C	VOY	univ	Personnel		Borg		7	5	5					[Com][DQ]		Borg/Humanoid; Drone;		Two of Twelve		Identification: XENOLOGY DRONE Task: Assess suitability of alien cultures for assimilation. Biological Distinctiveness: Humanoid.			Archaeology Anthropology Exobiology If present where probing for {Assimilate Planet}, once each turn, you may discard probe card to probe again.
