Name	Set	ImageFile	Release	Info	Property	Uniqueness	Type	Mission/ Dilemma Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Characteristics/ Keywords	Requires	Persona	Command	Lore	Reports	Names	Text
Haakona (Premiere Traditional)	Trad_Open_Warp	PT359	PT	359 TR	TNG		Ship		Romulan	D'deridex Class	8	9	8						[Cmd][Stf][Stf] 	Cloaking Device; Romulan ship; Tractor Beam;			Taris	Subcommander Taris' warbird. Responded to the Federation incursion of the Neutral Zone, near Iconia.			Cloaking Device, Tractor Beam
Hannah Bates (Premiere Traditional)	Trad_Open_Warp	PT214	PT	214 TU	TNG		Personnel		Federation	SCIENCE	6	8	2							Human; Female; Mission Specialist; U.S.S. Enterprise-related personnel;				Genetically engineered scientist from Moab IV. Granted asylum aboard U.S.S. Enterprise in 2368.			SCIENCE Physics
Type VI Shuttlecraft (Premiere Traditional)	Trad_Open_Warp	PT332	PT	332 TC	TNG	univ	Ship		Federation	Type VI Shuttlecraft	6	2	2						 	Federation ship; No staffing requirement; Shuttlecraft;				Modern Federation shuttle with warp capability. May be armed for special missions.			
U.S.S. Excelsior (Premiere Traditional)	Trad_Open_Warp	PT335	PT	335 TC	TNG	univ	Ship		Federation	Excelsior Class	6	6	7						[Stf][Stf] 	Federation ship; Tractor Beam;				First launched in 2284 as a test for what proved to be the unsuccessful transwarp project. Now uses standard warp drive.			Tractor Beam
U.S.S. Galaxy (Premiere Traditional)	Trad_Open_Warp	PT336	PT	336 TC	TNG	univ	Ship		Federation	Galaxy Class	8	7	9						[Cmd][Stf][Stf] 	Federation ship; Holodeck; Prototype; Tractor Beam;				Prototype in this elite class of ships was the U.S.S. Galaxy, after which the class was named.			Holodeck, Tractor Beam
U.S.S. Miranda (Premiere Traditional)	Trad_Open_Warp	PT338	PT	338 TC	TNG	univ	Ship		Federation	Miranda Class	6	5	5						[Stf] 	Federation ship; Tractor Beam;				Small ship class from the late 23rd century. Named for a character in Shakespeare's play, The Tempest.			Tractor Beam
U.S.S. Nebula (Premiere Traditional)	Trad_Open_Warp	PT339	PT	339 TC	TNG	univ	Ship		Federation	Nebula Class	8	7	8						[Cmd][Stf] 	Federation ship; Holodeck; Tractor Beam;				Modern class of ship featuring large upper equipment modules customizable for specific mission uses.			Holodeck, Tractor Beam
U.S.S. Oberth (Premiere Traditional)	Trad_Open_Warp	PT340	PT	340 TC	TNG	univ	Ship		Federation	Oberth Class	6	4	7						[Stf] 	Federation ship; Tractor Beam;				Class of small ships often used for scientific missions. Named for 20th century rocket scientist Hermann Oberth.			Tractor Beam
Varel (Premiere Traditional)	Trad_Open_Warp	PT330	PT	330 TC	TNG	univ	Personnel		Romulan	SCIENCE	4	7	5					[Stf]		Romulan; Female;				Representative of female Romulans trained in the field of science. Assigned to assist with interphase generator project.			SCIENCE Physics Computer Skill Youth
Vekma (Premiere Traditional)	Trad_Open_Warp	PT288	PT	288 TC	TNG	univ	Personnel		Klingon	MEDICAL	6	5	6					[Stf]		Klingon; Female; I.K.S. Pagh-related personnel; Mission Specialist;				Klingon female trained in Klingon anatomy and medicine. Propositioned Commander William T. Riker on the I.K.C. Pagh in 2365.		Commander William T. Riker;I.K.C. Pagh	MEDICAL Honor
